dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,282.066386,459.477705,117.000000,100.000000,0.000000,0.000000,0.080728
0.020000,284.059810,459.639754,119.000000,100.000000,0.000000,0.000000,0.081496
0.020000,286.053111,459.803314,121.000000,100.000000,0.000000,0.000000,0.082243
0.020000,288.046291,459.968343,123.000000,100.000000,0.000000,0.000000,0.082970
0.020000,290.039352,460.134800,125.000000,100.000000,0.000000,0.000000,0.083676
0.020000,292.032296,460.302642,127.000000,100.000000,0.000000,0.000000,0.084361
0.020000,294.025128,460.471829,129.000000,100.000000,0.000000,0.000000,0.085025
0.020000,296.017848,460.642318,131.000000,100.000000,0.000000,0.000000,0.085668
0.020000,298.010459,460.814068,133.000000,100.000000,0.000000,0.000000,0.086290
0.020000,300.002966,460.987037,135.000000,100.000000,0.000000,0.000000,0.086892
0.020000,301.995370,461.161184,137.000000,100.000000,0.000000,0.000000,0.087472
0.020000,303.987674,461.336467,139.000000,100.000000,0.000000,0.000000,0.088032
0.020000,305.979881,461.512844,141.000000,100.000000,0.000000,0.000000,0.088571
0.020000,307.971995,461.690275,143.000000,100.000000,0.000000,0.000000,0.089089
0.020000,309.964019,461.868717,145.000000,100.000000,0.000000,0.000000,0.089587
0.020000,311.955956,462.048129,147.000000,100.000000,0.000000,0.000000,0.090063
0.020000,313.947808,462.228469,149.000000,100.000000,0.000000,0.000000,0.090519
0.020000,315.939581,462.409695,151.000000,100.000000,0.000000,0.000000,0.090954
0.020000,317.931276,462.591768,153.000000,100.000000,0.000000,0.000000,0.091368
0.020000,319.922897,462.774643,155.000000,100.000000,0.000000,0.000000,0.091761
0.020000,321.914449,462.958281,157.000000,100.000000,0.000000,0.000000,0.092133
0.020000,323.905934,463.142640,159.000000,100.000000,0.000000,0.000000,0.092484
0.020000,325.897355,463.327678,161.000000,100.000000,0.000000,0.000000,0.092815
0.020000,327.888718,463.513354,163.000000,100.000000,0.000000,0.000000,0.093125
0.020000,329.880025,463.699626,165.000000,100.000000,0.000000,0.000000,0.093414
0.020000,331.871279,463.886453,167.000000,100.000000,0.000000,0.000000,0.093682
0.020000,333.862486,464.073794,169.000000,100.000000,0.000000,0.000000,0.093930
0.020000,335.853648,464.261606,171.000000,100.000000,0.000000,0.000000,0.094156
0.020000,337.844770,464.449849,173.000000,100.000000,0.000000,0.000000,0.094362
0.020000,339.835854,464.638481,175.000000,100.000000,0.000000,0.000000,0.094547
