dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,310.538530,435.864182,117.000000,100.000000,0.000000,0.000000,6.163821
0.020000,312.524213,435.625305,119.000000,100.000000,0.000000,0.000000,6.163106
0.020000,314.509729,435.385038,121.000000,100.000000,0.000000,0.000000,6.162421
0.020000,316.495083,435.143442,123.000000,100.000000,0.000000,0.000000,6.161767
0.020000,318.480282,434.900578,125.000000,100.000000,0.000000,0.000000,6.161144
0.020000,320.465334,434.656506,127.000000,100.000000,0.000000,0.000000,6.160551
0.020000,322.450244,434.411288,129.000000,100.000000,0.000000,0.000000,6.159989
0.020000,324.435020,434.164985,131.000000,100.000000,0.000000,0.000000,6.159457
0.020000,326.419668,433.917658,133.000000,100.000000,0.000000,0.000000,6.158956
0.020000,328.404196,433.669366,135.000000,100.000000,0.000000,0.000000,6.158486
0.020000,330.388611,433.420172,137.000000,100.000000,0.000000,0.000000,6.158046
0.020000,332.372920,433.170136,139.000000,100.000000,0.000000,0.000000,6.157637
0.020000,334.357130,432.919318,141.000000,100.000000,0.000000,0.000000,6.157259
0.020000,336.341249,432.667781,143.000000,100.000000,0.000000,0.000000,6.156911
0.020000,338.325285,432.415583,145.000000,100.000000,0.000000,0.000000,6.156594
0.020000,340.309244,432.162786,147.000000,100.000000,0.000000,0.000000,6.156307
0.020000,342.293134,431.909451,149.000000,100.000000,0.000000,0.000000,6.156051
0.020000,344.276964,431.655639,151.000000,100.000000,0.000000,0.000000,6.155826
0.020000,346.260740,431.401410,153.000000,100.000000,0.000000,0.000000,6.155631
0.020000,348.244470,431.146824,155.000000,100.000000,0.000000,0.000000,6.155467
0.020000,350.228163,430.891944,157.000000,100.000000,0.000000,0.000000,6.155333
0.020000,352.211825,430.636828,159.000000,100.000000,0.000000,0.000000,6.155230
0.020000,354.195465,430.381538,161.000000,100.000000,0.000000,0.000000,6.155158
0.020000,356.179090,430.126135,163.000000,100.000000,0.000000,0.000000,6.155116
0.020000,358.162709,429.870680,165.000000,100.000000,0.000000,0.000000,6.155104
0.020000,360.146328,429.615232,167.000000,100.000000,0.000000,0.000000,6.155124
0.020000,362.129957,429.359853,169.000000,100.000000,0.000000,0.000000,6.155174
0.020000,364.113602,429.104603,171.000000,100.000000,0.000000,0.000000,6.155254
0.020000,366.097271,428.849543,173.000000,100.000000,0.000000,0.000000,6.155365
0.020000,368.080973,428.594734,175.000000,100.000000,0.000000,0.000000,6.155507
0.020000,370.064714,428.340236,177.000000,100.000000,0.000000,0.000000,6.155679
0.020000,372.048504,428.086110,179.000000,100.000000,0.000000,0.000000,6.155882
0.020000,374.032348,427.832417,181.000000,100.000000,0.000000,0.000000,6.156115
0.020000,376.016256,427.579217,183.000000,100.000000,0.000000,0.000000,6.156379
0.020000,378.000234,427.326572,185.000000,100.000000,0.000000,0.000000,6.156674
0.020000,379.984291,427.074541,187.000000,100.000000,0.000000,0.000000,6.156999
0.020000,381.968433,426.823186,189.000000,100.000000,0.000000,0.000000,6.157355
0.020000,383.952669,426.572567,191.000000,100.000000,0.000000,0.000000,6.157741
0.020000,385.937005,426.322746,193.000000,100.000000,0.000000,0.000000,6.158159
0.020000,387.921449,426.073782,195.000000,100.000000,0.000000,0.000000,6.158606
0.020000,389.906007,425.825738,197.000000,100.000000,0.000000,0.000000,6.159084
0.020000,391.890688,425.578673,199.000000,100.000000,0.000000,0.000000,6.159593
0.020000,393.875499,425.332648,201.000000,100.000000,0.000000,0.000000,6.160133
0.020000,395.860445,425.087725,203.000000,100.000000,0.000000,0.000000,6.160703
0.020000,397.845535,424.843964,205.000000,100.000000,0.000000,0.000000,6.161304
0.020000,399.830774,424.601426,207.000000,100.000000,0.000000,0.000000,6.161935
0.020000,401.816170,424.360172,209.000000,100.000000,0.000000,0.000000,6.162598
0.020000,403.801729,424.120263,211.000000,100.000000,0.000000,0.000000,6.163290
0.020000,405.787457,423.881760,213.000000,100.000000,0.000000,0.000000,6.164014
0.020000,407.773361,423.644725,215.000000,100.000000,0.000000,0.000000,6.164768
0.020000,409.759446,423.409217,217.000000,100.000000,0.000000,0.000000,6.165553
0.020000,411.745720,423.175299,219.000000,100.000000,0.000000,0.000000,6.166368
0.020000,413.732187,422.943031,221.000000,100.000000,0.000000,0.000000,6.167214
0.020000,415.718853,422.712474,223.000000,100.000000,0.000000,0.000000,6.168091
0.020000,417.705724,422.483690,225.000000,100.000000,0.000000,0.000000,6.168999
0.020000,419.692806,422.256740,227.000000,100.000000,0.000000,0.000000,6.169937
0.020000,421.680103,422.031684,229.000000,100.000000,0.000000,0.000000,6.170906
0.020000,423.667621,421.808585,231.000000,100.000000,0.000000,0.000000,6.171905
0.020000,425.655364,421.587503,233.000000,100.000000,0.000000,0.000000,6.172936
0.020000,427.643337,421.368499,235.000000,100.000000,0.000000,0.000000,6.173997
0.020000,429.631544,421.151636,237.000000,100.000000,0.000000,0.000000,6.175088
0.020000,431.619991,420.936974,239.000000,100.000000,0.000000,0.000000,6.176211
0.020000,433.608680,420.724574,241.000000,100.000000,0.000000,0.000000,6.177364
0.020000,435.597617,420.514499,243.000000,100.000000,0.000000,0.000000,6.178548
0.020000,437.586804,420.306808,245.000000,100.000000,0.000000,0.000000,6.179762
0.020000,439.576244,420.101565,247.000000,100.000000,0.000000,0.000000,6.181008
0.020000,441.565942,419.898829,249.000000,100.000000,0.000000,0.000000,6.182284
0.020000,443.555900,419.698664,251.000000,100.000000,0.000000,0.000000,6.183591
0.020000,445.546121,419.501129,253.000000,100.000000,0.000000,0.000000,6.184928
0.020000,447.536608,419.306287,255.000000,100.000000,0.000000,0.000000,6.186296
0.020000,449.527362,419.114199,257.000000,100.000000,0.000000,0.000000,6.187695
0.020000,451.518385,418.924926,259.000000,100.000000,0.000000,0.000000,6.189125
0.020000,453.509680,418.738531,261.000000,100.000000,0.000000,0.000000,6.190585
0.020000,455.501248,418.555074,263.000000,100.000000,0.000000,0.000000,6.192076
0.020000,457.493090,418.374617,265.000000,100.000000,0.000000,0.000000,6.193597
0.020000,459.485207,418.197221,267.000000,100.000000,0.000000,0.000000,6.195149
0.020000,461.477600,418.022948,269.000000,100.000000,0.000000,0.000000,6.196732
0.020000,463.470268,417.851860,271.000000,100.000000,0.000000,0.000000,6.198346
0.020000,465.463213,417.684018,273.000000,100.000000,0.000000,0.000000,6.199990
0.020000,467.456433,417.519483,275.000000,100.000000,0.000000,0.000000,6.201665
0.020000,469.449928,417.358316,277.000000,100.000000,0.000000,0.000000,6.203370
0.020000,471.443698,417.200580,279.000000,100.000000,0.000000,0.000000,6.205106
